frequency_hz,real_ohm,imag_ohm,magnitude_ohm
2.000000000000000000e+01,1.268937344443242132e+01,3.736501098017352085e+00,1.322806255155121491e+01
2.023158908519796739e+01,1.269414793960921450e+01,3.783089135627502486e+00,1.324587314301279584e+01
2.046585984561508553e+01,1.269905183270144633e+01,3.830339151807834241e+00,1.326414020837799868e+01
2.070284333358687334e+01,1.270408907466052284e+01,3.878263474648930398e+00,1.328287645036664699e+01
2.094257096101799576e+01,1.270926375875098735e+01,3.926874761240406908e+00,1.330209497334792523e+01
2.118507450354577770e+01,1.271458012671677729e+01,3.976186009458447579e+00,1.332180929830908234e+01
2.143038610475213090e+01,1.272004257526446303e+01,4.026210570264523447e+00,1.334203337848659388e+01
2.167853828042407116e+01,1.272565566288224126e+01,4.076962160540741564e+00,1.336278161569393674e+01
2.192956392286370360e+01,1.273142411701478949e+01,4.128454876488831360e+00,1.338406887738217854e+01
2.218349630524802052e+01,1.273735284161540982e+01,4.180703207621216499e+00,1.340591051447168525e+01
2.244036908603927571e+01,1.274344692509836108e+01,4.233722051374336104e+00,1.342832237999565415e+01
2.270021631344630109e+01,1.274971164871582907e+01,4.287526728375989471e+00,1.345132084859842436e+01
2.296307242993766096e+01,1.275615249538571305e+01,4.342132998400512811e+00,1.347492283693430792e+01
2.322897227680685361e+01,1.276277515899818304e+01,4.397557077047332896e+00,1.349914582501537907e+01
2.349795109879059751e+01,1.276958555423096975e+01,4.453815653180764222e+00,1.352400787855960651e+01
2.377004454874036909e+01,1.277658982690541301e+01,4.510925907170931559e+00,1.354952767239392664e+01
2.404528869234826516e+01,1.278379436491763776e+01,4.568905529978309232e+00,1.357572451497032873e+01
2.432372001292736030e+01,1.279120580978161392e+01,4.627772743126647548e+00,1.360261837405640328e+01
2.460537541624763946e+01,1.279883106882361687e+01,4.687546319612042822e+00,1.363022990366608411e+01
2.489029223542770453e+01,1.280667732807036430e+01,4.748245605798487645e+00,1.365858047230004502e+01
2.517850823588335274e+01,1.281475206587632876e+01,4.809890544353671693e+00,1.368769219257010228e+01
2.547006162033323662e+01,1.282306306733899071e+01,4.872501698281726412e+00,1.371758795228634575e+01
2.576499103386268885e+01,1.283161843955451964e+01,4.936100276113481122e+00,1.374829144709127782e+01
2.606333556904598936e+01,1.284042662777025079e+01,5.000708158318246888e+00,1.377982721473030558e+01
2.636513477112815096e+01,1.284949643249464835e+01,5.066347925005445951e+00,1.381222067105430007e+01
2.667042864326648299e+01,1.285883702763007008e+01,5.133042884988467058e+00,1.384549814785589028e+01
2.697925765183306979e+01,1.286845797969865757e+01,5.200817106287932923e+00,1.387968693264827280e+01
2.729166273177849433e+01,1.287836926823718464e+01,5.269695448156349826e+00,1.391481531050253295e+01
2.760768529205770960e+01,1.288858130744261743e+01,5.339703594711502355e+00,1.395091260806740863e+01
2.792736722111875736e+01,1.289910496915659266e+01,5.410868090271533148e+00,1.398800923990397571e+01
2.825075089245508408e+01,1.290995160728406610e+01,5.483216376490799071e+00,1.402613675727686982e+01
2.857787917022206159e+01,1.292113308374903724e+01,5.556776831402018502e+00,1.406532789955357465e+01
2.890879541491854710e+01,1.293266179609859634e+01,5.631578810477258834e+00,1.410561664837396023e+01
2.924354348913437107e+01,1.294455070687564557e+01,5.707652689827840575e+00,1.414703828476383940e+01
2.958216776336414711e+01,1.295681337489056872e+01,5.785029911671143665e+00,1.418962944937861792e+01
2.992471312188867572e+01,1.296946398853296678e+01,5.863743032201157668e+00,1.423342820607674497e+01
3.027122496872416235e+01,1.298251740127645704e+01,5.943825772008637820e+00,1.427847410903700442e+01
3.062174923364061030e+01,1.299598916954243677e+01,6.025313069206999828e+00,1.432480827364963361e+01
3.097633237824962649e+01,1.300989559310298915e+01,6.108241135430527713e+00,1.437247345142812271e+01
3.133502140216299026e+01,1.302425375821856690e+01,6.192647514883255155e+00,1.442151410920712706e+01
3.169786384922226929e+01,1.303908158372319015e+01,6.278571146629126076e+00,1.447197651291187803e+01
3.206490781380083632e+01,1.305439787028857523e+01,6.366052430327534317e+00,1.452390881620626040e+01
3.243620194717860272e+01,1.307022235311914571e+01,6.455133295632620616e+00,1.457736115435027102e+01
3.281179546399079783e+01,1.308657575835244025e+01,6.545857275490310379e+00,1.463238574362318900e+01
3.319173814875121309e+01,1.310347986346428328e+01,6.638269583583724653e+00,1.468903698669680580e+01
3.357608036245121497e+01,1.312095756200536911e+01,6.732417196195605413e+00,1.474737158437313411e+01
3.396487304923488892e+01,1.313903293302608866e+01,6.828348938775794963e+00,1.480744865413433509e+01
3.435816774315177469e+01,1.315773131557957143e+01,6.926115577522779176e+00,1.486932985598836510e+01
3.475601657498751251e+01,1.317707938872966089e+01,7.025769916310760976e+00,1.493307952613329448e+01
3.515847227917386419e+01,1.319710525753099795e+01,7.127366899318281490e+00,1.499876481900593816e+01
3.556558820077846406e+01,1.321783854549319415e+01,7.230963719740309159e+00,1.506645585832733936e+01
3.597741830257574946e+01,1.323931049409076444e+01,7.336619934994540237e+00,1.513622589780891126e+01
3.639401717219967480e+01,1.326155406993530939e+01,7.444397588862727844e+00,1.520815149223872531e+01
3.681544002937913262e+01,1.328460408028754891e+01,7.554361341041184730e+00,1.528231267972914509e+01
